Membership No  Date Joined  Active  
    74638      2016-9-24    yes   
    59325      2019-12-3    yes   
    37461      2018-11-13   yes   
    11418      2018-4-10    yes   
    26399      2015-12-3    yes   
    11194      2019-8-24    yes   
    79994      2018-2-21    yes   
    85038      2016-9-20    yes   
    50538      2020-3-24    yes   
    34077      2017-9-24    yes   
    51326      2019-12-24   yes   
    51035      2017-8-1     yes   
    16286      2017-7-7     yes   
    55931      2018-12-6    yes   
