Membership No  Date Joined  Active  
    23933      2017-6-14    yes   
    69609      2015-11-22   no    
    60532      2015-1-18    yes   
    20554      2018-5-1     yes   
    60798      2020-10-1    no    
    47867      2018-11-8    no    
    37284      2017-2-19    yes   
    79080      2017-10-25   no    
    96613      2017-6-2     yes   
    84126      2019-2-16    no    
    16096      2017-8-18    no    
    24964      2018-6-10    yes   
    21318      2020-3-14    no    
    79911      2018-10-22   no    
    42383      2017-7-7     yes   
    99869      2018-11-19   yes   
    76043      2016-4-21    no    
    99269      2018-7-17    yes   
    43125      2015-3-4     yes   
    21535      2019-4-12    no    
